Year,ID1,Latitude,Longitude,Elevation,MAT,MAP
1963,Rainbow Pool,37.81878,-120.007301,833,12.5,1144
1963,Redwood Creek,36.68952,-118.909599,1677,9.2,1323
1963,Rock Creek,43.37876,-122.952103,295,10.9,1491
1963,South Fork Middle Fork Tule,36.13756,-118.574097,1664,9.2,1329
1963,Sweetwater Creek,37.64232,-119.924797,370,14.7,863
1963,Sweetwater River,32.89913,-116.586502,1386,12.7,582
1963,Wawona,37.53822,-119.651398,1208,11.4,1303
1963,West Fork Mojave River,34.28425,-117.375397,1087,14.1,686
1963,Whitewater Canyon,33.99329,-116.662697,696,17.7,309
1963,Willow Creek,39.45785,-121.061798,748,13.5,1557
1964,Bear Creek,36.20696,-118.726898,1119,12.9,569
1964,Buck Meadows,37.77722,-120.063301,830,13.1,1070
1964,Canton Creek,43.4137,-122.780403,503,9.8,1848
1964,Carlon,37.81006,-119.856796,1320,10.6,1152
1964,Cherokee Creek,39.55384,-120.987801,1289,11.3,1955
1964,Chino Creek,39.73262,-121.4039,776,13.5,1597
1964,Coast Fork of Williamette,43.6517,-123.087997,254,10.1,1514
1964,Corral Creek,35.8529,-118.447304,982,14.3,262
1964,Deep Creek,41.66546,-123.113403,694,11.8,225
1964,Deer Creek,42.27525,-123.639999,387,11.1,1863
1964,Fiddle Creek,39.5204,-120.998199,706,12.8,1673
1964,Hauser Creek,32.65822,-116.532303,788,13.7,272
1964,Kitchen Creek,32.75206,-116.452202,1173,12.1,416
1964,Little Jameson Creek,39.74298,-120.704002,1592,7.8,1441
1964,Little North Fork Middle Fork Feather,39.71209,-121.274803,510,13.7,1547
1964,Mill Creek,34.07808,-116.875603,1992,7.6,589
1964,Moss Creek Merced Drainage,37.67203,-119.818199,529,14.2,939
1964,North Fork Middle Fork Tule,36.20081,-118.650902,1284,11.9,629
1964,North Fork Tuolumne,37.98555,-120.204498,689,13.7,1032
1964,O'Neil Creek,41.80979,-123.118896,487,11.5,1065
